tconst,startYear,runtimeMinutes,budget,revenue,production_companies,original_language,origin_country,top_3_cast,director,keywords,genres,certification_us,release_date
tt2141773,2015,86.0,,157768.0,"[81667, 4616]",en,['US'],"[{'id': 32907, 'popularity': 2.1112}, {'id': 51990, 'popularity': 2.8981}, {'id': 18973, 'popularity': 5.5789}]","[{'id': 1222348, 'popularity': 0.2207}, {'id': 1432957, 'popularity': 0.2791}]","[3352, 6154, 3473, 5653, 10121, 14999, 161919, 199524, 228777, 315583]","[14, 35, 16, 12]",R,2015-10-02
tt21419928,2025,103.0,,,[99668],hi,['IN'],"[{'id': 1323156, 'popularity': 0.1456}, {'id': 5262186, 'popularity': 0.051}, {'id': 5262187, 'popularity': 0.0}]","[{'id': 1325630, 'popularity': 0.1704}]",,[10749],,2025-02-07
tt21439528,2022,98.0,,,"[121427, 562, 170137, 23]",en,['US'],,"[{'id': 1037308, 'popularity': 0.2629}]","[5096, 2658, 11107, 4434, 18031, 159289, 163398, 163895, 192772, 221355, 222529, 239713, 262228, 282080, 302933]","[99, 18]",PG-13,2022-11-03
tt21440780,2022,104.0,,1046811.0,"[146684, 180839, 194672]",en,['US'],"[{'id': 82764, 'popularity': 0.7126}, {'id': 1633001, 'popularity': 1.6947}, {'id': 1371509, 'popularity': 1.6386}]","[{'id': 2020100, 'popularity': 0.2379}]","[818, 258, 1442, 1556, 2210, 6564, 9856, 14856, 15208, 33643, 41501, 158718, 197526, 208647, 213971, 222551, 238508, 282521, 293649, 325779]","[80, 18, 53]",R,2023-04-07
tt21454134,2023,116.0,40000000.0,36110860.0,"[50914, 10104, 508]",en,['US'],"[{'id': 86654, 'popularity': 2.5043}, {'id': 1388593, 'popularity': 1.9494}, {'id': 2524, 'popularity': 7.0512}]","[{'id': 71872, 'popularity': 0.5983}]","[520, 818, 1003, 3149, 1228, 4434, 6951, 9503, 9826, 11363, 10726, 14735, 14736, 15009, 15060, 181858, 194226, 195295, 208992, 214388, 281508]","[80, 18]",R,2024-06-19
tt21469794,2024,110.0,,,"[118472, 210099]",en,['US'],"[{'id': 34847, 'popularity': 3.6414}, {'id': 1017294, 'popularity': 1.5276}, {'id': 2392602, 'popularity': 1.2945}]","[{'id': 288710, 'popularity': 0.3112}]","[9799, 9882, 187056, 240422, 281585, 319319, 325804, 325824, 325832, 325840]",[35],PG-13,2024-07-04
tt2160105,2018,98.0,,,[12026],en,['US'],"[{'id': 98285, 'popularity': 1.9217}, {'id': 144852, 'popularity': 2.0221}, {'id': 20212, 'popularity': 3.4831}]","[{'id': 932088, 'popularity': 0.2149}]","[6270, 818, 6152, 4458, 9826, 12332, 34079, 162846]","[53, 14, 9648]",PG-13,2018-09-27
tt21626284,2023,122.0,,330000000.0,"[2140, 115477, 200087]",hi,['IN'],"[{'id': 3021361, 'popularity': 0.4443}, {'id': 2550663, 'popularity': 0.6274}, {'id': 2505976, 'popularity': 0.5286}]","[{'id': 130959, 'popularity': 0.5106}]","[3582, 283488, 322942]","[35, 18, 10749]",,2024-03-01
tt21626774,2024,123.0,,,"[86699, 115477]",hi,['IN'],"[{'id': 1208682, 'popularity': 0.7712}, {'id': 85594, 'popularity': 0.4754}, {'id': 284463, 'popularity': 0.3545}]","[{'id': 2061198, 'popularity': 0.0731}]","[314730, 325825]","[80, 53, 18]",R,2024-08-18
tt21638298,2023,116.0,,,[9],fr,['FR'],"[{'id': 586757, 'popularity': 2.0716}, {'id': 19119, 'popularity': 2.3574}, {'id': 2152949, 'popularity': 0.7105}]","[{'id': 19119, 'popularity': 2.3574}]","[5248, 10051, 14789, 18712, 179431, 187056]","[28, 35, 18]",R,2023-11-01
