tconst,startYear,runtimeMinutes,budget,revenue,production_companies,original_language,origin_country,top_3_cast,director,keywords,genres,certification_us,release_date
tt6957966,2018,102.0,,,"[42591, 806, 8147, 3604, 1632]",en,"['CA', 'US']","[{'id': 34847, 'popularity': 3.6414}, {'id': 17244, 'popularity': 3.8935}, {'id': 24967, 'popularity': 2.3549}]","[{'id': 18281, 'popularity': 0.6901}]",[9673],"[35, 10749]",R,2018-08-24
tt6958014,2018,93.0,,6877.0,[1974],en,['US'],"[{'id': 61178, 'popularity': 1.7656}, {'id': 1425019, 'popularity': 1.9918}, {'id': 52404, 'popularity': 3.4711}]","[{'id': 61069, 'popularity': 0.6153}]","[9732, 14529, 15320, 158718, 177973, 204111, 226325]","[18, 10749, 35]",NR,2018-04-27
tt6958212,2017,113.0,,,"[86737, 105990]",en,['AU'],"[{'id': 1887857, 'popularity': 0.0931}, {'id': 29092, 'popularity': 2.8906}, {'id': 4783, 'popularity': 3.5862}]","[{'id': 94342, 'popularity': 0.465}]","[5657, 570, 3012, 2831, 3036, 9672, 9744, 18034, 193459, 207876, 239910, 272521]","[37, 80, 53, 18]",R,2018-01-25
tt6964940,2021,107.0,,,"[147304, 18257]",en,"['IN', 'US']","[{'id': 2934217, 'popularity': 0.0441}, {'id': 1466017, 'popularity': 0.1502}, {'id': 52973, 'popularity': 0.3754}]","[{'id': 1826741, 'popularity': 0.368}]",[],"[18, 10751]",PG,2021-06-11
tt6968614,2023,115.0,,,"[829, 1620]",en,['US'],"[{'id': 16866, 'popularity': 4.0742}, {'id': 2113164, 'popularity': 0.3795}, {'id': 41556, 'popularity': 1.6157}]","[{'id': 15287, 'popularity': 0.5836}]","[12367, 187056, 266503]","[28, 53]",R,2023-05-04
tt6972140,2018,138.0,,,"[108155, 3522]",hi,['IN'],"[{'id': 76793, 'popularity': 1.6895}, {'id': 1386192, 'popularity': 0.5088}, {'id': 130589, 'popularity': 0.3945}]","[{'id': 231568, 'popularity': 0.1275}]","[1936, 34094]","[35, 53]",,2018-04-06
tt6977240,2017,88.0,,,"[23333, 11341, 162929]",en,['US'],"[{'id': 27763, 'popularity': 2.677}, {'id': 2133, 'popularity': 2.8115}, {'id': 11827, 'popularity': 0.6912}]","[{'id': 70100, 'popularity': 0.6205}, {'id': 1870387, 'popularity': 0.4254}]","[1826, 839, 13031, 161919, 210024, 278823]","[16, 28, 878]",R,2017-08-21
tt6986710,2019,112.0,,,"[103329, 113447, 78591]",hi,['IN'],"[{'id': 87328, 'popularity': 1.1532}, {'id': 6217, 'popularity': 1.5301}, {'id': 154069, 'popularity': 0.1734}]","[{'id': 2207534, 'popularity': 0.0454}]","[6084, 6078, 2569, 6083, 5565, 14636]","[36, 18]",,2019-01-11
tt6988116,2019,166.0,,17987034.0,"[19146, 60536, 12154, 219954]",hi,['IN'],"[{'id': 1108120, 'popularity': 1.7596}, {'id': 1108119, 'popularity': 1.7606}, {'id': 142626, 'popularity': 0.7609}]","[{'id': 1304317, 'popularity': 0.1018}]","[1318, 6564, 180492, 183886, 189007, 271664, 360299]","[18, 10749]",,2019-04-17
tt6999052,2018,124.0,,,"[21274, 20014, 42145, 26027, 319]",de,['CH'],"[{'id': 1030356, 'popularity': 0.2787}, {'id': 1397749, 'popularity': 0.3925}, {'id': 1168643, 'popularity': 0.1633}]","[{'id': 1276281, 'popularity': 0.1152}]","[10180, 13042, 158718, 258533]","[18, 10749]",NR,2018-02-22
tt7010412,2017,102.0,,990000.0,"[86042, 109444, 109445, 7813, 109446]",zh,['TW'],"[{'id': 1844024, 'popularity': 0.1748}, {'id': 1743150, 'popularity': 0.3913}, {'id': 1133858, 'popularity': 0.947}]","[{'id': 1576769, 'popularity': 0.2868}]",[],"[35, 18]",,2017-10-13
tt7019820,2017,160.0,,,[71836],ta,['IN'],"[{'id': 587982, 'popularity': 0.9084}, {'id': 1072750, 'popularity': 1.0171}, {'id': 91548, 'popularity': 1.2427}]","[{'id': 237608, 'popularity': 0.3417}]","[730, 592, 15178, 240626]","[18, 53]",,2017-12-22
tt7019842,2018,158.0,,,[13214],ta,['IN'],"[{'id': 1123766, 'popularity': 1.0088}, {'id': 116925, 'popularity': 1.7242}, {'id': 1524297, 'popularity': 0.1435}]","[{'id': 1124416, 'popularity': 0.3285}]","[239560, 239561]",[10749],,2018-10-04
tt7019942,2019,176.0,1539980.0,,"[99411, 116566, 116567]",ta,['IN'],"[{'id': 1123766, 'popularity': 1.0088}, {'id': 1072750, 'popularity': 0.8196}, {'id': 225312, 'popularity': 1.4206}]","[{'id': 1069245, 'popularity': 0.505}]","[10123, 228696]","[35, 53, 18, 80]",,2019-03-29
tt7025976,2018,120.0,,,"[83, 9, 121654, 591, 11199, 92955, 122333, 19233, 113342, 104, 10611, 7131, 11997]",fr,['FR'],"[{'id': 1925, 'popularity': 2.9947}, {'id': 7275, 'popularity': 0.4554}, {'id': 6091, 'popularity': 1.3068}]","[{'id': 58324, 'popularity': 0.5616}]","[90, 9672, 6165, 7118, 12995, 15011, 18023, 33384, 194998, 207928, 208327, 240192, 257130, 324713, 325763, 325766, 325851, 325853, 325856]","[18, 80, 53]",,2018-12-19
tt7026488,2020,105.0,,70459.0,"[5106, 4839, 806]",en,['CA'],"[{'id': 584542, 'popularity': 1.3451}, {'id': 138558, 'popularity': 0.6569}, {'id': 2418023, 'popularity': 0.2129}]","[{'id': 1412121, 'popularity': 0.2305}]","[1706, 3030, 2116, 33910, 156173, 179878, 232790, 234418, 239390, 251410, 281520]","[878, 27]",,2020-09-24
tt7026666,2021,140.0,4708049.0,,"[127162, 127163]",ml,['IN'],"[{'id': 1115225, 'popularity': 0.8808}, {'id': 1643582, 'popularity': 0.7985}, {'id': 448468, 'popularity': 0.3514}]","[{'id': 1199174, 'popularity': 0.1519}]",[],"[53, 80]",,2021-11-12
tt7027278,2018,116.0,,13999297.0,"[72730, 100972]",hi,['IN'],"[{'id': 1192902, 'popularity': 0.3071}, {'id': 1848952, 'popularity': 1.2559}, {'id': 1243973, 'popularity': 0.1587}]","[{'id': 85585, 'popularity': 0.2148}]","[5096, 5864]",[10749],,2018-12-07
tt7035004,2020,100.0,,1516150.0,"[7270, 114520, 207447]",ko,['KR'],"[{'id': 63438, 'popularity': 1.6436}, {'id': 913196, 'popularity': 0.8242}, {'id': 592496, 'popularity': 1.5218}]","[{'id': 2204473, 'popularity': 0.1016}]","[9725, 232421, 250187]","[28, 18, 36]",PG-13,2020-09-23
tt7038762,2023,82.0,,,"[2090, 64216]",en,['US'],"[{'id': 33285, 'popularity': 1.3151}, {'id': 69122, 'popularity': 3.5866}, {'id': 21593, 'popularity': 2.4122}]","[{'id': 56263, 'popularity': 0.3823}]","[65, 207317, 309974]",[35],PG,2023-11-16
tt7042862,2018,98.0,,3822.0,"[117122, 7662]",en,['US'],"[{'id': 16431, 'popularity': 4.6999}, {'id': 207558, 'popularity': 1.7866}, {'id': 211993, 'popularity': 1.3274}]","[{'id': 2064788, 'popularity': 0.2673}]","[1329, 1543, 1956, 5457, 12026, 227007, 241930, 251720, 251721]","[18, 12, 14, 878, 10752]",R,2019-02-08
tt7043012,2019,113.0,21000000.0,,[127713],en,['US'],"[{'id': 14343, 'popularity': 2.0887}, {'id': 131, 'popularity': 6.8241}, {'id': 118034, 'popularity': 1.0852}]","[{'id': 57113, 'popularity': 0.9516}]","[3660, 6152, 10123, 8201, 11514, 11130, 10907, 14789, 155795, 156031, 201069, 227426]","[53, 9648, 27]",R,2019-02-01
tt7056732,2017,109.0,,,"[7819, 112531, 112532, 118769]",ko,['KR'],"[{'id': 1347525, 'popularity': 1.7225}, {'id': 1257899, 'popularity': 1.3498}, {'id': 1020859, 'popularity': 1.734}]","[{'id': 1410322, 'popularity': 0.6183}]","[6149, 12648, 272050, 311315, 314730, 325786]","[35, 28, 80]",,2017-08-09
tt7057496,2017,108.0,,9968972.0,"[84678, 81594, 91505, 114520, 140692, 88607, 48320]",ko,['KR'],"[{'id': 1257899, 'popularity': 1.3498}, {'id': 84788, 'popularity': 2.1848}, {'id': 240948, 'popularity': 1.0657}]","[{'id': 1771406, 'popularity': 0.8848}]","[3363, 9748, 9826, 243959, 244530, 315053]","[53, 9648, 80]",,2017-11-29
tt7058080,2019,98.0,,230193.0,"[65719, 7584, 11840, 102896]",en,"['AU', 'US']","[{'id': 87722, 'popularity': 6.6123}, {'id': 63312, 'popularity': 3.1696}, {'id': 114019, 'popularity': 2.2751}]","[{'id': 219961, 'popularity': 0.2503}]","[5657, 1523, 6844, 8181, 9714, 9872, 10333, 14903, 157168, 208368, 240315]","[18, 53, 9648]",R,2019-08-15
tt7059844,2019,160.0,,,"[118842, 59294]",hi,['IN'],"[{'id': 42802, 'popularity': 4.2039}, {'id': 130958, 'popularity': 0.8003}, {'id': 2453951, 'popularity': 0.3866}]","[{'id': 89154, 'popularity': 0.953}]",[],"[28, 35, 80]",,2019-12-20
tt7060344,2018,146.0,,,[69278],ta,['IN'],"[{'id': 584250, 'popularity': 0.4958}, {'id': 223164, 'popularity': 0.6535}, {'id': 1424278, 'popularity': 0.2027}]","[{'id': 1043909, 'popularity': 0.1253}]","[10714, 12565, 155716, 158927, 170865]","[53, 80, 9648]",,2018-10-05
tt7060460,2017,157.0,,,[16429],ta,['IN'],"[{'id': 123066, 'popularity': 1.0698}, {'id': 1143308, 'popularity': 0.9906}, {'id': 109743, 'popularity': 0.5156}]","[{'id': 1341628, 'popularity': 0.3431}]","[9672, 33344, 33722, 239694]","[28, 53]",,2017-11-17
tt7063210,2017,105.0,,,"[6246, 19916, 30740]",it,['IT'],"[{'id': 56843, 'popularity': 0.6246}, {'id': 146464, 'popularity': 0.5663}, {'id': 128748, 'popularity': 1.5594}]","[{'id': 225160, 'popularity': 0.5694}]","[828, 5011, 1946, 4896, 5585, 10660, 14766, 198423, 269769, 305648]","[18, 53]",,2017-11-04
tt7068818,2017,101.0,,,[],en,['US'],"[{'id': 1368972, 'popularity': 0.0717}, {'id': 1368973, 'popularity': 0.1643}, {'id': 1368974, 'popularity': 0.079}]","[{'id': 1368971, 'popularity': 0.1988}]","[1930, 2754, 3335, 3358, 9663, 9713, 9864, 163053, 232795, 276164, 290178, 290179, 365784, 365923]",[27],NR,2017-09-22
