tconst,startYear,runtimeMinutes,budget,production_companies,original_language,origin_country,top_3_cast,director,keywords,genres,certification_us,release_date,profitable
tt3152624,2015,125.0,35000000.0,"[10105, 33]",en,['US'],"[{'id': 440414, 'popularity': 1.3235}, {'id': 19278, 'popularity': 2.5926}, {'id': 60073, 'popularity': 3.1542}]","[{'id': 41039, 'popularity': 1.4086}]","[567, 3262, 4434, 9799, 2864, 10050, 13005, 13072, 15111, 155208, 209223, 220613, 220713, 233318, 238070, 241738, 243090, 287038, 297946, 325765]","[35, 10749]",R,2015-07-17,1
tt10327252,2021,103.0,18000000.0,"[3172, 2481, 33, 138783, 214539]",en,['US'],"[{'id': 57409, 'popularity': 1.6571}, {'id': 6164, 'popularity': 2.6373}, {'id': 2098451, 'popularity': 0.2083}]","[{'id': 1192942, 'popularity': 0.2685}]","[1556, 9663, 9675, 9826, 18034, 50009, 168713, 235742, 317534, 317535]","[28, 27, 53]",R,2021-06-30,1
tt2140379,2015,117.0,26000000.0,"[11092, 1205]",en,['US'],"[{'id': 10859, 'popularity': 5.5224}, {'id': 2282, 'popularity': 3.4619}, {'id': 76511, 'popularity': 1.6231}]","[{'id': 56512, 'popularity': 1.0645}]","[4978, 2251, 6564, 10124, 10163, 12375, 13005, 33721, 34079, 187008, 189748, 196682, 205852, 218102, 218105, 227385]","[878, 28, 53]",PG-13,2015-07-10,0
tt19623240,2023,84.0,100000.0,"[155744, 69347]",en,"['GB', 'US']","[{'id': 3629486, 'popularity': 0.3521}, {'id': 3564234, 'popularity': 0.1058}, {'id': 3254445, 'popularity': 0.3272}]","[{'id': 3122176, 'popularity': 0.5972}]","[7942, 9825, 11034, 12339, 15101, 206673, 237771, 279729, 281237, 282174, 285961, 325665, 325819, 354302]",[27],NR,2023-01-26,1
tt2531318,2016,106.0,5.0,"[23, 3797, 53972, 4183, 121427]",en,"['GB', 'US']","[{'id': 10215, 'popularity': 1.9303}, {'id': 10594, 'popularity': 1.1919}, {'id': 10592, 'popularity': 2.6215}]","[{'id': 6159, 'popularity': 3.8044}]",[],"[99, 10402]",NR,2016-09-15,1
tt6535880,2019,92.0,5000000.0,"[8000, 110723, 24049]",en,['US'],"[{'id': 1316972, 'popularity': 0.3635}, {'id': 1140241, 'popularity': 0.5279}, {'id': 80614, 'popularity': 0.2299}]","[{'id': 1317685, 'popularity': 0.3624}, {'id': 1317686, 'popularity': 0.5145}]","[2546, 1366, 2158, 3335, 3358, 4506, 10292, 1245, 12339, 13073, 155939, 186268, 193217, 208370, 209870, 240252, 280688, 312898]","[27, 53]",R,2019-09-13,0
tt5867314,2020,137.0,16000000.0,"[122178, 6834, 25]",en,['US'],"[{'id': 18473, 'popularity': 2.1736}, {'id': 164094, 'popularity': 2.036}, {'id': 1819889, 'popularity': 0.5179}]","[{'id': 7476, 'popularity': 0.4026}]","[1706, 703, 1964, 5900, 5340, 3450, 6158, 9717, 8440, 11612, 18712, 33457, 33499, 156091, 156174, 209568, 215959, 221376, 287274]","[27, 9648]",R,2020-10-22,0
tt12731980,2021,99.0,1500000.0,"[118155, 74808, 84465, 23688]",en,['US'],"[{'id': 1462, 'popularity': 2.6731}, {'id': 87954, 'popularity': 0.802}, {'id': 1518187, 'popularity': 0.7668}]","[{'id': 1191094, 'popularity': 0.2925}]","[33456, 292560, 292561, 292562, 292563, 292564, 325814]","[37, 28, 18]",NR,2021-10-01,0
tt5120640,2016,131.0,3400000.0,"[95252, 3522]",hi,['IN'],"[{'id': 6519, 'popularity': 0.916}, {'id': 87773, 'popularity': 1.5884}, {'id': 150471, 'popularity': 0.7224}]","[{'id': 930293, 'popularity': 0.1788}]","[5565, 320927]",[18],,2016-05-20,0
tt7545266,2020,83.0,29000000.0,"[106497, 4]",en,['US'],"[{'id': 1230868, 'popularity': 1.1589}, {'id': 9827, 'popularity': 4.0107}, {'id': 3136, 'popularity': 2.7533}]","[{'id': 61069, 'popularity': 0.6153}]","[160483, 188474]",[35],R,2020-01-09,0
