tconst,startYear,runtimeMinutes,budget,production_companies,original_language,origin_country,top_3_cast,director,keywords,genres,certification_us,release_date,profitable
tt10648440,2019,103.0,10892000.0,"[12987, 112927, 7036]",ko,['KR'],"[{'id': 1223316, 'popularity': 1.4551}, {'id': 1252045, 'popularity': 2.8534}, {'id': 936000, 'popularity': 0.9664}]","[{'id': 2206352, 'popularity': 0.2372}]","[10685, 5732, 10349, 10617, 251502]","[28, 35]",,2019-07-31,1
tt5785170,2017,155.0,3700000.0,"[91689, 28386, 80514, 86581, 86589]",hi,['IN'],"[{'id': 35070, 'popularity': 4.1448}, {'id': 1434137, 'popularity': 0.4971}, {'id': 6217, 'popularity': 1.5301}]","[{'id': 123225, 'popularity': 0.21}]","[918, 1157, 5331, 6437, 9840, 159930, 194451]","[35, 18, 10749]",,2017-08-11,1
tt4682786,2016,97.0,36000000.0,"[79, 1785, 10039, 12, 24277, 907]",en,['US'],"[{'id': 2888, 'popularity': 5.0923}, {'id': 819, 'popularity': 6.2482}, {'id': 204, 'popularity': 5.5236}]","[{'id': 5065, 'popularity': 0.8533}]","[6054, 2300, 2655, 6203, 9872, 34079, 200234, 207525, 257714, 325767]","[18, 10749]",PG-13,2016-12-15,0
tt12536294,2021,117.0,18000000.0,"[7493, 1618, 28473, 21546, 187987]",en,"['GB', 'US']","[{'id': 37917, 'popularity': 3.9955}, {'id': 9191, 'popularity': 2.2074}, {'id': 3262411, 'popularity': 0.0916}]","[{'id': 225009, 'popularity': 0.5459}]","[7376, 5809, 4833, 5565, 9672, 9332, 180546, 207317, 210608, 215634, 220649, 283085, 300091, 319319, 325835]",[18],R,2021-11-04,0
tt30327451,2024,103.0,6100000.0,"[207, 83]",fr,['FR'],"[{'id': 1159954, 'popularity': 0.5743}, {'id': 544685, 'popularity': 0.4182}, {'id': 1402424, 'popularity': 0.1794}]","[{'id': 109889, 'popularity': 0.2526}]","[3156, 8009, 156834, 192471, 243959, 325765, 325853, 325854]","[35, 18, 10402]",,2024-11-27,1
tt5258850,2017,117.0,23000000.0,"[9, 46760, 20484, 83, 104, 10611, 7131, 113342]",fr,"['CA', 'FR']","[{'id': 66957, 'popularity': 0.5526}, {'id': 14606, 'popularity': 0.6861}, {'id': 93532, 'popularity': 0.6746}]","[{'id': 14606, 'popularity': 0.6861}]","[2546, 3515, 90, 2504, 437, 11007, 13014, 166512, 173245, 180250, 250702, 258533]","[18, 80, 10752]",,2017-10-25,0
tt1355631,2016,127.0,28000000.0,[130197],en,"['US', 'GB']","[{'id': 17419, 'popularity': 5.3478}, {'id': 9824, 'popularity': 2.9954}, {'id': 5723, 'popularity': 3.4807}]","[{'id': 144221, 'popularity': 0.5081}]","[1568, 5565, 14964, 18026, 314730, 315053, 316832, 325780, 325801, 325817, 325839, 325842]","[80, 18, 53]",R,2016-07-13,0
tt11905962,2020,113.0,2600000.0,"[100821, 3451, 71156, 274894, 76049]",ru,['RU'],"[{'id': 77667, 'popularity': 1.7256}, {'id': 80999, 'popularity': 0.8024}, {'id': 80997, 'popularity': 0.9368}]","[{'id': 1849086, 'popularity': 0.132}]","[1612, 4862, 9951, 9826, 13005, 198136, 226236, 230857, 233169, 268132]","[878, 18, 27]",R,2020-07-24,0
tt3460252,2015,168.0,44000000.0,"[308, 215, 1811]",en,['US'],"[{'id': 2231, 'popularity': 7.361}, {'id': 6856, 'popularity': 4.3482}, {'id': 10431, 'popularity': 5.6202}]","[{'id': 138, 'popularity': 4.5567}]","[801, 1016, 2398, 1262, 7150, 12570, 33600, 156783, 187321, 207928, 290670, 309974, 315583, 364573]","[18, 9648, 37]",R,2015-12-25,1
tt30970235,2024,158.0,2413068.0,"[212774, 115477]",hi,['IN'],"[{'id': 1115720, 'popularity': 0.7663}, {'id': 1107197, 'popularity': 0.8144}, {'id': 2719094, 'popularity': 0.0566}]","[{'id': 3096978, 'popularity': 0.0621}]",[],"[28, 53, 18]",,2024-02-23,1
tt13957560,2023,105.0,30000000.0,"[22146, 172841, 213595]",en,['US'],"[{'id': 17142, 'popularity': 2.0989}, {'id': 94185, 'popularity': 4.2666}, {'id': 59174, 'popularity': 1.9707}]","[{'id': 50767, 'popularity': 0.6512}]","[1700, 2954, 9672, 6127, 3643, 176834, 177493, 197056, 203322, 212737, 213828, 221004, 223039, 231709, 235611, 238768, 243959, 251324, 253419, 256040, 281585, 315053, 320253, 321464, 322077, 325773, 325791, 325795, 325804, 325831, 325842, 325855, 329574]","[36, 35, 18]",R,2023-09-15,0
tt10366206,2023,169.0,100000000.0,"[3528, 23008, 264, 1632]",en,['US'],"[{'id': 6384, 'popularity': 8.8351}, {'id': 1341, 'popularity': 3.3074}, {'id': 137905, 'popularity': 4.4447}]","[{'id': 40644, 'popularity': 1.3836}]","[242, 779, 220, 90, 2708, 9663, 10291, 10642, 18103, 164092, 179430, 181644, 188955, 200235, 206041, 207268, 335874, 335875, 373589]","[28, 53, 80]",R,2023-03-21,1
tt5825380,2017,101.0,25000000.0,"[1824, 20580, 12966]",en,['US'],"[{'id': 204, 'popularity': 5.5236}, {'id': 36594, 'popularity': 4.8703}, {'id': 26485, 'popularity': 2.1828}]","[{'id': 1243, 'popularity': 2.5077}]","[3451, 9273, 160961, 165142, 208611, 246534]","[18, 10749]",PG-13,2017-12-01,0
tt36491653,2025,103.0,6000000.0,"[2835, 12389, 20338, 165898, 94]",fr,['FR'],"[{'id': 5389673, 'popularity': 0.1022}, {'id': 5428352, 'popularity': 0.4306}, {'id': 2393767, 'popularity': 0.128}]","[{'id': 120229, 'popularity': 0.7714}]","[9748, 18009, 200234, 207901]","[18, 53, 80, 9648]",PG-13,2025-10-01,0
tt5974030,2019,85.0,4500000.0,"[737, 89819, 107185]",en,['US'],"[{'id': 1241, 'popularity': 2.6618}, {'id': 2405, 'popularity': 2.2472}, {'id': 21127, 'popularity': 2.8899}]","[{'id': 1241, 'popularity': 2.6618}]",[],"[35, 80, 18]",R,2019-10-17,0
tt2554274,2015,119.0,55000000.0,"[101082, 923]",en,['US'],"[{'id': 76070, 'popularity': 2.1432}, {'id': 83002, 'popularity': 4.507}, {'id': 91606, 'popularity': 3.3448}]","[{'id': 10828, 'popularity': 2.3533}]","[6259, 351, 3358, 6015, 9826, 33505, 33841, 162846, 193263, 221882, 273015, 311315, 314730, 325784, 325821]","[27, 9648, 10749, 18]",R,2015-10-13,0
tt4178092,2015,108.0,5000000.0,"[3172, 32299, 69542]",en,['US'],"[{'id': 33192, 'popularity': 2.1737}, {'id': 15556, 'popularity': 2.5282}, {'id': 23532, 'popularity': 5.4358}]","[{'id': 33192, 'popularity': 2.1737}]","[520, 1157, 2587, 10352, 12565, 12670, 14632, 15162, 33467, 163933, 172274, 183126, 191260, 221192, 258841, 280263, 311278, 311279, 311280, 316832]","[53, 9648, 18]",R,2015-07-31,1
tt13405778,2023,107.0,16000000.0,"[3172, 11341, 3287]",en,['US'],"[{'id': 9827, 'popularity': 4.0107}, {'id': 17181, 'popularity': 1.8224}, {'id': 17178, 'popularity': 3.1376}]","[{'id': 17178, 'popularity': 3.1376}]","[6152, 2723, 3616, 9663, 10114, 14893, 15001, 223914, 240119, 241161, 244530, 256183, 315058, 322255]","[27, 53]",PG-13,2023-07-05,1
tt7134096,2020,109.0,50000000.0,"[7576, 104972, 20656, 290, 131913, 110799, 4]",en,"['IE', 'ES', 'US', 'GB']","[{'id': 59175, 'popularity': 4.1039}, {'id': 9642, 'popularity': 4.5026}, {'id': 1225953, 'popularity': 2.4648}]","[{'id': 67356, 'popularity': 0.3042}]","[818, 470, 9748, 13015]","[28, 53]",R,2020-01-31,0
tt5301662,2017,118.0,12000000.0,"[82061, 128493, 152974, 11341, 10427]",en,['US'],"[{'id': 172069, 'popularity': 1.6117}, {'id': 54415, 'popularity': 1.9132}, {'id': 11661, 'popularity': 3.4824}]","[{'id': 68215, 'popularity': 0.7985}]","[6148, 10131, 10909, 207883, 214780]",[18],PG-13,2017-10-13,0
tt5758778,2018,102.0,125000000.0,"[34081, 923, 73669, 33, 1778, 3341]",en,['US'],"[{'id': 18918, 'popularity': 5.1872}, {'id': 9206, 'popularity': 3.6435}, {'id': 101015, 'popularity': 1.2046}]","[{'id': 57633, 'popularity': 1.8643}]","[657, 478, 1418, 12354, 159450, 159894, 197644, 203857, 234619, 253686]","[28, 53, 12]",PG-13,2018-07-11,0
tt3224458,2019,109.0,25000000.0,"[559, 81620, 188]",en,['US'],"[{'id': 29528, 'popularity': 3.0545}, {'id': 31, 'popularity': 13.074}, {'id': 2955, 'popularity': 2.0718}]","[{'id': 177532, 'popularity': 0.3399}]","[6054, 3230, 9672, 15120, 161194, 195240, 210608, 234765, 237469, 239275, 256492, 277478, 286027, 318113]","[36, 10751, 18]",PG,2019-09-07,1
tt21942866,2023,102.0,10000000.0,"[41077, 123620, 831]",en,['US'],"[{'id': 2963, 'popularity': 14.078}, {'id': 86034, 'popularity': 2.8926}, {'id': 39995, 'popularity': 3.272}]","[{'id': 1280021, 'popularity': 1.0105}]","[1566, 3030, 1992, 2116, 2117, 10123, 8201, 10235, 186835, 272553, 295907, 305613, 325777, 346773]","[35, 14]",R,2023-11-10,0
tt6251024,2018,92.0,2500000.0,"[106820, 106821, 106822]",en,['US'],"[{'id': 1017347, 'popularity': 2.4763}, {'id': 530618, 'popularity': 1.6252}, {'id': 1109702, 'popularity': 1.2878}]","[{'id': 1031463, 'popularity': 0.5614}]","[10685, 1438, 1556, 10292, 9826, 14673, 206559, 210605, 259376, 325812, 325836, 325846]","[35, 27, 28]",,2018-06-19,0
tt4814290,2016,136.0,5069632.0,"[78688, 78691, 158444, 7294]",hi,"['KR', 'IN']","[{'id': 35780, 'popularity': 1.5614}, {'id': 85047, 'popularity': 0.7027}, {'id': 35068, 'popularity': 0.7829}]","[{'id': 1211416, 'popularity': 0.203}]",[165317],"[9648, 53, 80]",,2016-06-10,0
tt27757805,2024,159.0,21176000.0,"[35064, 79877, 115477, 248312]",hi,['IN'],"[{'id': 1108119, 'popularity': 1.7606}, {'id': 1295762, 'popularity': 1.0693}, {'id': 1267400, 'popularity': 1.301}]","[{'id': 1668648, 'popularity': 0.1274}]","[9714, 165317]","[28, 18, 53, 80]",,2024-12-25,0
tt4425200,2017,122.0,40000000.0,"[3528, 23008, 491]",en,['US'],"[{'id': 6384, 'popularity': 8.8351}, {'id': 4238, 'popularity': 2.5786}, {'id': 2975, 'popularity': 3.4161}]","[{'id': 40644, 'popularity': 1.3836}]","[779, 782, 588, 2708, 2405, 3271, 9663, 9748, 10950, 15162, 18103, 172872, 188955, 207268, 246238, 259094, 335871, 371509, 373589]","[28, 53, 80]",R,2017-02-08,1
tt7991608,2021,118.0,160000000.0,"[34081, 73669, 102182]",en,['US'],"[{'id': 18918, 'popularity': 5.1872}, {'id': 10859, 'popularity': 5.5224}, {'id': 90633, 'popularity': 3.8481}]","[{'id': 57633, 'popularity': 1.8643}]","[1812, 6710, 6715, 10051, 14789]","[28, 35, 80]",PG-13,2021-11-04,0
tt5165344,2016,148.0,6114349.0,"[91689, 86347, 3942]",hi,['IN'],"[{'id': 35070, 'popularity': 4.1448}, {'id': 237040, 'popularity': 0.8813}, {'id': 1040950, 'popularity': 0.4384}]","[{'id': 1603696, 'popularity': 0.1369}]",[179014],"[53, 18, 80]",,2016-08-12,1
tt33247023,2025,104.0,20000000.0,"[90733, 99366, 118408, 148258, 168539]",en,['US'],"[{'id': 1983503, 'popularity': 0.2776}, {'id': 1175743, 'popularity': 0.2512}, {'id': 118545, 'popularity': 3.8789}]","[{'id': 1175743, 'popularity': 0.2512}]","[1357, 1553, 4373, 5732, 10827, 13063, 14602, 15160, 325761, 325770, 325776, 325779, 325781]","[35, 10749]",R,2025-08-21,0
tt9603212,2023,163.0,220000000.0,"[4, 82819, 21777]",en,['US'],"[{'id': 500, 'popularity': 11.9791}, {'id': 39459, 'popularity': 4.0535}, {'id': 10182, 'popularity': 2.522}]","[{'id': 9033, 'popularity': 1.4555}]","[2546, 4776, 10364, 588, 3713, 3269, 470, 3864, 4289, 9663, 9846, 9679, 12347, 174915, 176802, 217415, 269769, 322496]","[28, 12, 53]",PG-13,2023-07-08,1
tt12226632,2023,129.0,32000000.0,"[551, 10156]",en,['US'],"[{'id': 2073341, 'popularity': 0.4261}, {'id': 2178, 'popularity': 3.8047}, {'id': 1833646, 'popularity': 0.5121}]","[{'id': 66121, 'popularity': 0.4397}]","[596, 6075, 1228, 1556, 5565, 9672, 18035, 208289, 208992, 209476, 281585, 325824]","[36, 18]",PG-13,2023-04-27,0
tt1695843,2023,123.0,157800000.0,"[2, 118854]",en,['US'],"[{'id': 5916, 'popularity': 2.971}, {'id': 2461073, 'popularity': 0.2944}, {'id': 1200864, 'popularity': 3.255}]","[{'id': 1059571, 'popularity': 0.3032}]","[2343, 3358, 9872, 162846, 164246, 242130, 279987]","[35, 18, 14]",PG-13,2023-07-26,0
tt0385887,2019,144.0,26000000.0,"[2297, 36209]",en,['US'],"[{'id': 819, 'popularity': 6.2482}, {'id': 62, 'popularity': 5.3532}, {'id': 1216606, 'popularity': 2.9584}]","[{'id': 819, 'popularity': 6.2482}]","[818, 5823, 10217, 41523, 155790, 161982, 181659, 207268, 208611]","[18, 53]",R,2019-10-31,0
tt5104604,2018,101.0,35000000.0,"[264, 23449, 9350, 258]",en,['US'],"[{'id': 17419, 'popularity': 5.3478}, {'id': 1726151, 'popularity': 0.0989}, {'id': 12438, 'popularity': 1.3323}]","[{'id': 5655, 'popularity': 2.2529}]","[2041, 233, 10121, 15162, 159602, 208152, 319397, 325856]","[12, 35, 16]",PG-13,2018-03-23,0
tt3113696,2016,83.0,3500000.0,"[36685, 21139, 38159]",en,['US'],"[{'id': 16644, 'popularity': 3.703}, {'id': 90117, 'popularity': 0.2472}, {'id': 21321, 'popularity': 1.0045}]","[{'id': 73409, 'popularity': 0.3009}]","[1812, 10292, 15001, 156075, 161261, 233436]","[28, 14, 27]",,2016-08-27,0
tt5460530,2017,99.0,28000000.0,"[76777, 2373, 119944, 3312, 831, 119947]",en,['US'],"[{'id': 2963, 'popularity': 14.078}, {'id': 486603, 'popularity': 2.1451}, {'id': 1379123, 'popularity': 0.4774}]","[{'id': 63423, 'popularity': 0.5968}]","[818, 8653, 184352, 190327, 191199, 235592, 240315, 253807]","[28, 18, 53]",R,2017-03-16,0
tt10505316,2021,149.0,20800000.0,"[77552, 591, 75242, 19037, 9, 117048]",fr,['FR'],"[{'id': 1871464, 'popularity': 0.7833}, {'id': 17522, 'popularity': 1.1032}, {'id': 83797, 'popularity': 0.7621}]","[{'id': 113855, 'popularity': 0.1402}]","[90, 818, 5933, 207928, 282150, 284103, 286925, 296659, 315053]","[18, 10749, 36]",,2021-10-20,0
tt1658801,2015,103.0,7000000.0,"[215, 52053, 1205, 491]",en,['US'],"[{'id': 1231, 'popularity': 4.7008}, {'id': 27578, 'popularity': 4.4693}, {'id': 4495, 'popularity': 4.1971}]","[{'id': 71548, 'popularity': 0.3085}]","[586, 6090, 9833, 10163, 264386, 325772]","[10749, 18]",PG-13,2015-10-02,0
tt11687104,2022,89.0,4000000.0,"[117678, 1632, 82552, 157195]",en,"['CA', 'US']","[{'id': 84223, 'popularity': 3.5332}, {'id': 134774, 'popularity': 1.9139}, {'id': 70787, 'popularity': 0.9729}]","[{'id': 19774, 'popularity': 0.3305}]","[6054, 2629, 5248, 6876, 9332, 40920, 157292, 159315, 164698, 171567, 187056, 194451, 220669, 225353, 229594, 231500, 233361, 234146, 252990, 280263, 281237, 295959, 301541, 314615, 321772, 329707, 329708]","[53, 18, 10749]",R,2022-12-30,0
tt5688932,2018,112.0,3200000.0,"[12219, 14638, 79426, 103291, 103292]",en,['US'],"[{'id': 1200864, 'popularity': 3.255}, {'id': 62561, 'popularity': 2.8742}, {'id': 1488960, 'popularity': 1.1317}]","[{'id': 930526, 'popularity': 1.4002}]","[2831, 8201, 9887, 6219, 12987, 182240, 182242, 210434, 228978, 235579, 239797, 241927, 246184, 293649, 309974, 320420, 325778]","[14, 878, 35]",R,2018-07-06,1
tt1663202,2015,156.0,135000000.0,"[77845, 508, 562, 8870, 10039, 10104, 13796, 52660, 41624]",en,['US'],"[{'id': 6193, 'popularity': 7.0622}, {'id': 2524, 'popularity': 7.8608}, {'id': 93210, 'popularity': 1.9282}]","[{'id': 223, 'popularity': 1.6096}]","[570, 818, 970, 1442, 1468, 1262, 2522, 5160, 3593, 10292, 10322, 5774, 9672, 9468, 6536, 9454, 9714, 9748, 10349, 9826, 10468, 10794, 14808, 18165, 18330, 155573, 158175, 162722, 180173, 188266, 200234, 207928, 232116, 279414, 316832, 325766, 325854]","[37, 18, 12]",R,2015-12-25,1
tt5354160,2016,147.0,240000.0,"[84704, 84705]",bn,['BD'],"[{'id': 150410, 'popularity': 0.5999}, {'id': 1690351, 'popularity': 0.5196}, {'id': 3151165, 'popularity': 0.126}]","[{'id': 1690355, 'popularity': 0.3949}]","[6078, 584, 6309, 9758, 11727, 13118, 33416, 156024, 156053, 178865, 186356, 213489, 257681, 265216]","[80, 9648, 53]",,2016-09-30,1
tt31923069,2025,119.0,55000000.0,"[127928, 3672, 22213, 278463, 279898]",en,['US'],"[{'id': 206905, 'popularity': 3.1959}, {'id': 239271, 'popularity': 1.7103}, {'id': 1294982, 'popularity': 2.3743}]","[{'id': 65167, 'popularity': 0.553}]","[894, 818, 5565, 159315, 163133, 208289]","[18, 10402]",PG-13,2025-10-22,0
tt1273221,2018,118.0,8000000.0,"[15231, 3490, 135164, 13241, 9987, 5056, 262788, 114841, 4917, 240548, 34381, 114842]",en,"['GB', 'US']","[{'id': 879, 'popularity': 3.8687}, {'id': 55085, 'popularity': 3.5691}, {'id': 38941, 'popularity': 1.064}]","[{'id': 1206051, 'popularity': 0.0603}]","[818, 4565, 9016, 155532, 170620, 207268, 210389]","[80, 53]",R,2018-09-20,0
tt23289160,2023,124.0,15000000.0,"[882, 182161, 12386]",ja,['JP'],"[{'id': 225730, 'popularity': 2.841}, {'id': 1516266, 'popularity': 5.4909}, {'id': 1161474, 'popularity': 1.8544}]","[{'id': 43652, 'popularity': 1.7144}]","[1299, 697, 11100, 11423, 4263, 4593, 9741, 160861, 161184, 161791, 162810, 179431, 180498, 207883, 226475, 244532, 245064, 248927, 257384, 267475, 317204]","[878, 27, 28]",PG-13,2023-11-03,1
tt2869728,2016,102.0,40000000.0,"[83397, 33, 49968, 2780]",en,['US'],"[{'id': 55638, 'popularity': 5.3626}, {'id': 9778, 'popularity': 2.2157}, {'id': 81364, 'popularity': 2.2565}]","[{'id': 20400, 'popularity': 0.9718}]","[6149, 10235, 9663, 15090, 161267, 217452]","[28, 35]",PG-13,2016-01-14,1
tt32323252,2025,135.0,15000000.0,"[10039, 124854, 34455, 184023, 22146]",en,['US'],"[{'id': 115440, 'popularity': 18.6647}, {'id': 11107, 'popularity': 1.7599}, {'id': 28044, 'popularity': 1.9661}]","[{'id': 114334, 'popularity': 0.5062}]","[2013, 9672, 8232, 11925, 198585, 209476, 210608, 294708, 325761, 325772, 328926, 340972]","[36, 18]",R,2025-10-27,0
tt5090568,2023,127.0,195000000.0,"[82819, 4, 435, 6734, 114732, 38831, 2598]",en,['US'],"[{'id': 1560244, 'popularity': 2.002}, {'id': 1676520, 'popularity': 0.652}, {'id': 19540, 'popularity': 1.2515}]","[{'id': 1551545, 'popularity': 0.3577}]","[5967, 9951, 10150, 10542, 10891, 14544, 179431, 210608, 243959, 325761]","[878, 12, 28]",PG-13,2023-06-06,0
tt1519461,2015,91.0,5000000.0,"[7377, 3172, 3272, 7437, 7215, 6302, 21223]",en,['US'],"[{'id': 46930, 'popularity': 0.5101}, {'id': 1467369, 'popularity': 0.1029}, {'id': 1467370, 'popularity': 0.0663}]","[{'id': 90591, 'popularity': 0.5217}]","[3268, 4409, 4862, 9951, 9738, 9739, 163053, 177163, 181635, 209193, 273439, 276164]","[27, 9648, 878]",R,2015-05-15,0
tt22375054,2023,97.0,4000000.0,"[14, 169906, 173318, 231386]",en,['US'],"[{'id': 1318650, 'popularity': 2.9404}, {'id': 59219, 'popularity': 2.0965}, {'id': 219666, 'popularity': 0.7138}]","[{'id': 1283814, 'popularity': 0.3696}]","[242, 570, 10292, 6373, 11534, 9826, 10714, 11322, 158713, 179430, 180670, 200234, 207767, 281237]","[27, 53]",R,2024-08-14,0
tt4532826,2018,116.0,100000000.0,"[562, 25577, 491, 3528, 72441, 147437, 1632]",en,"['HR', 'FR', 'HK', 'HU', 'US']","[{'id': 1303037, 'popularity': 7.0631}, {'id': 134, 'popularity': 2.7736}, {'id': 77335, 'popularity': 2.6469}]","[{'id': 128276, 'popularity': 0.3339}]","[798, 2803, 4147, 4393, 11525, 9727, 10587, 10028, 41406, 161257, 164246, 212737, 217631, 281585, 309974, 311315, 325761, 325762, 325765, 325804]","[12, 28, 53, 14]",PG-13,2018-11-03,0
tt5884796,2023,107.0,25000000.0,"[73492, 435, 103331, 149107, 76314]",en,['GB'],"[{'id': 17276, 'popularity': 4.6211}, {'id': 450, 'popularity': 1.9243}, {'id': 3417, 'popularity': 1.9926}]","[{'id': 58324, 'popularity': 0.5616}]","[3800, 3203, 6895, 170217, 249530, 321464]","[28, 12, 53]",R,2023-01-11,1
tt4438848,2016,92.0,35000000.0,"[10338, 16615, 17393, 33]",en,['US'],"[{'id': 19274, 'popularity': 3.9319}, {'id': 29222, 'popularity': 3.9958}, {'id': 9827, 'popularity': 4.0107}]","[{'id': 52934, 'popularity': 0.8774}]","[567, 3616, 9663, 10058, 10226, 18035, 157632, 193674]",[35],R,2016-05-04,1
tt9387250,2020,113.0,70000000.0,"[66497, 27758, 146052, 117747, 99449, 10936, 150079, 9987, 12142, 88606, 240630, 125754]",en,"['US', 'GB']","[{'id': 1148626, 'popularity': 1.2377}, {'id': 2957, 'popularity': 2.4043}, {'id': 25702, 'popularity': 3.2705}]","[{'id': 128636, 'popularity': 0.1478}]","[9678, 1612, 779, 1430, 3801, 6044, 9951, 9748, 10085, 11322, 13031, 14643, 174375, 188957, 240485, 269233]","[878, 28, 53]",R,2020-10-25,0
tt2908446,2015,119.0,110000000.0,"[491, 14440, 10227]",en,"['CA', 'US']","[{'id': 94185, 'popularity': 4.3143}, {'id': 587020, 'popularity': 5.6593}, {'id': 996701, 'popularity': 4.0107}]","[{'id': 57270, 'popularity': 0.8233}]","[11196, 818, 2020, 4565, 9663, 12375, 206959, 281585, 290902, 290903, 291153, 298356, 348125, 366088, 372046, 373832, 373833]","[28, 878, 53]",PG-13,2015-03-18,1
tt5225338,2016,76.0,300000.0,"[38956, 85140]",en,['US'],"[{'id': 1383777, 'popularity': 0.186}, {'id': 1699974, 'popularity': 0.1602}, {'id': 1136135, 'popularity': 0.3981}]","[{'id': 1545927, 'popularity': 0.3099}]","[10201, 10877, 12999, 157213, 315058]","[18, 27]",R,2016-12-02,0
tt7601480,2021,136.0,10000000.0,"[86050, 119413]",ru,['RU'],"[{'id': 118333, 'popularity': 0.3805}, {'id': 1318905, 'popularity': 1.3539}, {'id': 29837, 'popularity': 0.4717}]","[{'id': 1754017, 'popularity': 0.2011}]","[9717, 9118, 266745, 268132, 281237, 290906]","[28, 12]",PG-13,2021-04-01,0
tt3464902,2015,119.0,4000000.0,"[71265, 726, 850, 2345, 3353, 4508, 7254, 19246, 72597, 6705, 20277]",en,"['IE', 'GB']","[{'id': 72466, 'popularity': 4.9103}, {'id': 3293, 'popularity': 4.5034}, {'id': 39187, 'popularity': 2.3833}]","[{'id': 122423, 'popularity': 1.3609}]","[612, 1252, 1422, 4565, 9720, 9840, 10886, 9748, 15058, 170468, 200064, 213833, 226499, 240456, 276775, 325815, 325847]","[35, 18, 10749]",R,2015-10-15,1
tt3170832,2015,118.0,13000000.0,"[806, 3353, 7493, 35846, 6705, 1898]",en,['US'],"[{'id': 60073, 'popularity': 3.1542}, {'id': 1277188, 'popularity': 2.2352}, {'id': 11148, 'popularity': 1.8849}]","[{'id': 83281, 'popularity': 0.5111}]","[818, 10685, 1533, 1337, 1930, 2883, 9229, 11612, 15162, 15381, 207597, 221605, 239797, 240237, 323809]","[18, 53]",R,2015-10-16,1
tt4943322,2017,106.0,40000000.0,[93065],en,['US'],"[{'id': 586286, 'popularity': 1.2125}, {'id': 91520, 'popularity': 2.2127}, {'id': 2299, 'popularity': 2.8915}]","[{'id': 52629, 'popularity': 0.5149}]","[428, 2504, 9683, 210184, 214410, 325800]","[10749, 18, 10752]",,2017-03-28,0
tt6587640,2020,91.0,90000000.0,[521],en,['US'],"[{'id': 84223, 'popularity': 3.5332}, {'id': 12111, 'popularity': 1.8723}, {'id': 1260038, 'popularity': 1.0141}]","[{'id': 118489, 'popularity': 0.6538}]","[246, 6054, 6029, 727, 953, 3124, 2007, 9663, 9890, 10542, 11700, 12553, 12990, 13084, 18034, 33922, 164532, 179430, 179431, 186833, 207379, 225273, 252937, 286529]","[10751, 16, 35, 14, 12, 10402]",PG,2020-03-11,0
tt15575470,2022,122.0,9000000.0,"[113586, 162275, 162276, 11590]",ko,['KR'],"[{'id': 1255411, 'popularity': 2.0315}, {'id': 1713025, 'popularity': 1.381}, {'id': 1872629, 'popularity': 1.1989}]","[{'id': 1294527, 'popularity': 0.7171}]","[378, 3799, 8083, 262404]","[28, 53, 27, 80]",,2022-09-21,0
tt2080374,2015,122.0,30000000.0,"[258, 1557, 6707, 8286, 78984, 33, 923]",en,['US'],"[{'id': 17288, 'popularity': 3.5885}, {'id': 204, 'popularity': 5.5236}, {'id': 19274, 'popularity': 3.9319}]","[{'id': 2034, 'popularity': 1.4413}]","[6104, 5565, 9672, 240303, 240422, 316832, 325786, 325802]","[18, 36]",R,2015-10-09,0
tt11240348,2024,95.0,22000000.0,"[14, 2180]",en,['US'],"[{'id': 934, 'popularity': 4.3314}, {'id': 35027, 'popularity': 0.708}, {'id': 65731, 'popularity': 3.8373}]","[{'id': 93151, 'popularity': 0.5509}]","[2626, 50009, 193319, 295907, 325765]","[27, 53]",R,2024-05-30,0
tt9006564,2023,150.0,3009565.0,"[16399, 123541]",ml,['IN'],"[{'id': 1263974, 'popularity': 0.9424}, {'id': 997494, 'popularity': 0.6944}, {'id': 587752, 'popularity': 0.5101}]","[{'id': 1296662, 'popularity': 0.1388}]",[318307],"[53, 28, 12]",,2023-05-05,1
tt17009710,2023,151.0,6700000.0,"[58568, 12389, 83, 109756]",fr,['FR'],"[{'id': 7152, 'popularity': 3.9059}, {'id': 145120, 'popularity': 1.2185}, {'id': 3302971, 'popularity': 0.4191}]","[{'id': 1175620, 'popularity': 0.4109}]","[1157, 1442, 3183, 4690, 4715, 12660, 33519, 158718, 175421, 187056, 198423, 214780, 239797, 240237, 269808, 287417, 310777, 314730, 321464, 325765, 345257]","[53, 9648, 80]",R,2023-08-23,1
tt3794354,2020,99.0,85000000.0,"[333, 10644, 77884, 4, 113750, 168701]",en,['US'],"[{'id': 222121, 'popularity': 1.8564}, {'id': 11006, 'popularity': 4.976}, {'id': 110742, 'popularity': 1.8147}]","[{'id': 93364, 'popularity': 0.5247}]","[6054, 282, 582, 7312, 8015, 41645, 179431, 188933, 208927, 209220, 245230, 259376, 303310, 325762, 325832]","[28, 878, 35, 10751]",PG,2020-02-12,1
tt8008948,2025,144.0,40000000.0,"[103330, 103331, 100033, 1632, 69850]",en,['US'],"[{'id': 17276, 'popularity': 4.6211}, {'id': 1371398, 'popularity': 1.1103}, {'id': 93336, 'popularity': 1.1489}]","[{'id': 54868, 'popularity': 0.3548}]","[1384, 8440, 10051, 232766, 323114, 325844]","[28, 80, 53]",R,2025-01-08,0
